TeckRank_int,rank_CB_normlized,name
838.0,7557.0,Fauna
839.0,6686.0,ActivTrak
840.0,6662.0,Humio
841.0,7653.0,Reltio
842.0,4305.0,PlanetScale
843.0,7289.0,Apptio
844.0,7851.0,Mode Analytics
845.0,5180.0,HVR
846.0,7887.0,Fishtown Analytics
847.0,9770.0,Productiv
848.0,5372.0,MemberSuite
849.0,3415.0,Snowplow Analytics
850.0,4417.0,Mu Sigma
851.0,876.0,Splice Machine
852.0,8485.0,Monte Carlo
853.0,5031.0,Certn
854.0,8375.0,CluedIn
855.0,1966.0,Cyient
856.0,4915.0,Observe
857.0,1993.0,Parabola
858.0,9956.0,Redis Labs
859.0,5790.0,Instana
860.0,267.0,Kloud.io
861.0,5686.0,Crux Informatics
862.0,3501.0,Materialize
863.0,4904.0,Unravel Data
864.0,6861.0,XPO
865.0,4048.0,Cargomatic
866.0,4036.0,DiDi Autonomous Driving
867.0,4008.0,Ike
868.0,1523.0,Flash
869.0,3405.0,Instabox
870.0,8810.0,Lucid Motors
871.0,8817.0,Oye Rickshaw
872.0,6639.0,CCIV
873.0,6004.0,Shypple
874.0,4342.0,Fleet
875.0,4358.0,Freight Tiger
876.0,4504.0,Luxe
877.0,165.0,Cogoport
878.0,9826.0,Helbiz
879.0,6238.0,NEXT Trucking
880.0,8941.0,DHL
881.0,396.0,TransLoc
882.0,355.0,ZJS Express Co
883.0,5082.0,BYTON
884.0,774.0,STOKE Space Technologies
885.0,9105.0,Euler Motors
886.0,3589.0,TruKKer
887.0,9371.0,Arrival
888.0,7550.0,Einride
889.0,3039.0,Beacon
890.0,8029.0,Ryanair
891.0,8082.0,Stuart
892.0,834.0,felyx
893.0,5612.0,Aurora
894.0,2338.0,Castor Maritime
895.0,7383.0,Tyltgo
896.0,3400.0,eBikeGo
897.0,7864.0,Canadian Pacific
898.0,9080.0,Flowspace
899.0,9282.0,Volta Trucks
900.0,7227.0,Embark Trucks
