initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
327,TIVIT,0,3.938,163038.0,4.694242460364764,22610.0,315.0
163,Rekki,0,3.941,137632.0,4.697818571939444,48016.0,316.0
226,Hollison Technologies,0,3.943,110057.0,4.700202646322565,75591.0,317.0
118,FaceFirst,0,3.958,18848.0,4.718083204195971,166800.0,318.0
398,i-Sprint,0,3.965,185647.0,4.7264274645368936,1.0,319.0
408,Aqua Vault,0,3.968,56561.0,4.730003576111575,129087.0,320.0
419,Avalance Global Solutions,0,3.968,46594.0,4.730003576111575,139054.0,321.0
287,TradeWaltz,0,3.974,29930.0,4.737155799260938,155718.0,322.0
291,Reshift security,0,3.986,65362.0,4.751460245559662,120286.0,323.0
27,STATS Group,0,3.99,79111.0,4.756228394325904,106537.0,324.0
277,GenieDB,0,3.992,69361.0,4.758612468709024,116287.0,325.0
443,Sportsbetting.ag,0,3.995,174824.0,4.762188580283706,10824.0,326.0
342,Yunsafe.com,0,4.002,114525.0,4.770532840624628,71123.0,327.0
476,Greyscale AI,0,4.007,26546.0,4.77649302658243,159102.0,328.0
473,AgotoZ Technology,0,4.025,36193.0,4.797949696030517,149455.0,329.0
36,Sylvatica Biotech,0,4.029,45848.0,4.802717844796758,139800.0,330.0
243,GEOFLEX,0,4.031,72337.0,4.8051019191798785,113311.0,331.0
294,Ziroh Labs,0,4.054,168668.0,4.832518774585768,16980.0,332.0
295,"PerspecSys, Inc. Canada",0,4.054,120617.0,4.832518774585768,65031.0,333.0
293,HooYu,0,4.054,146086.0,4.832518774585768,39562.0,334.0
292,LARC Networks,0,4.054,92865.0,4.832518774585768,92783.0,335.0
83,Pebble Labs Inc.,0,4.065,45745.0,4.845631183692932,139903.0,336.0
94,The Red Flag Group,0,4.067,164347.0,4.848015258076053,21301.0,337.0
200,Science Center,0,4.07,45260.0,4.851591369650734,140388.0,338.0
208,Intelligence Fusion,0,4.077,37538.0,4.859935629991656,148110.0,339.0
39,KelSie Biotech,0,4.084,43129.0,4.868279890332579,142519.0,340.0
160,Safran,0,4.095,93748.0,4.881392299439742,91900.0,341.0
390,FOG FAN,0,4.119,64671.0,4.910001192037192,120977.0,342.0
86,Cyalume Technologies,0,4.129,49621.0,4.921921563952795,136027.0,343.0
195,CynergisTek,0,4.133,155693.0,4.926689712719037,29955.0,344.0
179,Zyme Solutions,0,4.14,33041.0,4.9350339730599595,152607.0,345.0
371,Cryptors Cybersecurity Inc.,0,4.142,176264.0,4.9374180474430815,9384.0,346.0
457,Spaceek,0,4.147,67285.0,4.943378233400883,118363.0,347.0
122,FirstEnergy Corp.,0,4.157,3515.0,4.955298605316486,182133.0,348.0
55,POM - The Peace of Mind Company,0,4.164,28901.0,4.963642865657408,156747.0,349.0
273,TopPatch,0,4.167,91754.0,4.96721897723209,93894.0,350.0
41,Greenspace,0,4.179,24592.0,4.981523423530815,161056.0,351.0
448,Termius,0,4.183,30026.0,4.9862915722970556,155622.0,352.0
245,ROVENSO,0,4.198,31819.0,5.0041721301704625,153829.0,353.0
426,Dekko Secure,0,4.208,91917.0,5.016092502086066,93731.0,354.0
44,Turnitin,0,4.209,54348.0,5.017284539277625,131300.0,355.0
49,Lungpacer Medical,0,4.211,19847.0,5.019668613660747,165801.0,356.0
303,Truzo,0,4.217,55851.0,5.026820836810108,129797.0,357.0
148,Federal Signal,0,4.231,156867.0,5.0435093574919545,28781.0,358.0
218,Datasembly,0,4.233,11925.0,5.045893431875075,173723.0,359.0
124,Nano PharmaSolutions,0,4.243,96485.0,5.05781380379068,89163.0,360.0
